assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_label
CHEMBL769492,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL22137,IC50,nM,4180.0,CHEMBL1939,IC50,uM,4.18,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL22137,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL22137,IC50,nM,3460.0,CHEMBL1939,IC50,uM,3.46,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL22137,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL22137,IC50,nM,3020.0,CHEMBL1939,IC50,uM,3.02,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL811758,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,CHEMBL278847,IC50,nM,2.7,CHEMBL1939,IC50,nM,2.7,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL811757,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,CHEMBL278847,IC50,nM,12.7,CHEMBL1939,IC50,nM,12.7,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,CHEMBL416376,IC50,nM,680.0,CHEMBL1939,IC50,uM,0.68,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,CHEMBL416376,IC50,nM,100.0,CHEMBL1939,IC50,uM,0.1,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,CHEMBL416376,IC50,nM,19880.0,CHEMBL1939,IC50,uM,19.88,"PfDHFR-TS K1 (P. falciparum, resistant)"
