identifier,canonical_smiles,p_active,is_african_np,docking_rank
CNP0518341.1,Nc1nc2c(c(=O)[nH]1)N(C=O)C[C@H](CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)N2,0.6333909283428877,False,17
CNP0437490.1,N=C1N=C(O)C2=N[C@@H](CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CNC2=N1,0.6311309550226892,False,18
CNP0317326.1,C[C@@H](CCC(=O)N[C@@H](CCC(N)=O)C(=O)O)[C@H]1CC[C@H]2[C@H](CCC(=O)O)C(=O)CC[C@]12C,0.6292619223694033,False,19
CNP0544953.1,N=C1N=C(O)C2=[N+](C=O)[C@H](CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CNC2=N1,0.6277247727834001,False,20
CNP0372658.2,C[C@]12CC[C@@H]3[C@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.6262697820611963,False,21
CNP0391135.1,CC(C)C[C@H](NC(=O)CCC(=O)O[C@@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.6239093966188334,False,22
CNP0539885.2,N=c1nc(O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,0.6154869783565208,False,23
CNP0187572.1,CC(=O)O[C@]1(C(=O)COC(=O)CCC(=O)NC(CCC(=O)O)C(=O)O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.6151215980810192,False,24
CNP0420070.1,Nc1nc(O)c2c(n1)N[C@@H](CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)CN2C=O,0.6139249201449706,False,25
CNP0195150.0,CC(=O)c1nc(C(=O)NC(CCC(=O)O)C(=O)O)cc2c1[nH]c1ccccc12,0.6084507214176728,False,26
CNP0248345.1,COc1cc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)ccc1O,0.6021673047658818,False,27
CNP0106602.1,O=C(O)CC[C@@H](NC(=O)c1ccc(O)cc1)C(=O)O,0.5984428372209321,False,28
CNP0577529.1,C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.5941457876596448,False,29
CNP0083635.1,N=CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.5894410678929491,False,30
CNP0528472.2,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.5883823687741864,False,31
CNP0291434.1,O=C(O)CC[C@@H](NC(=O)c1ccc(O)c(O)c1)C(=O)O,0.5823690609271166,False,32
CNP0351538.1,CC(/C=C/C(=O)N[C@@H](CCC(=O)O)C(=O)O)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,0.5752097542141232,False,33
CNP0534557.0,CC(O)C(N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)O,0.5750240624156137,False,34
CNP0492416.0,COc1ccc(-c2ccc(N)[n+](CCCC(=O)O)n2)cc1.[Br-],0.5630733586010809,False,35
CNP0209180.2,CNc1cc2c3ccccc3nc(C(=O)N[C@H](CCC(=O)O)C(=O)C=C(C)C)c2n(C)c1=O,0.5624619969437588,False,36
CNP0347597.0,NCC(=O)NC(CCC(=O)O)C(=O)O,0.5624572351090233,False,37
CNP0218498.4,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)N2C=O,0.5624452526925735,False,38
CNP0073096.1,CCC[C@H](SSC[C@H](NC(C)=O)C(=O)O)c1cc(C)ccc1/C=C/CCCC(=O)O,0.5605748920412764,False,39
CNP0597041.0,CC(C)CC(N)C(O)C(=O)NC(C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)O)C(C)C)C(C)C,0.5599172704819871,False,40
CNP0346449.0,CC(C)CC(N)C(=O)NC(CCC(=O)O)C(=O)O,0.5591706211259272,False,41
CNP0387276.2,CC(C)(C)OC(=O)CC[C@@H](NC(=O)OC(C)(C)C)C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.5561508788485662,False,42
CNP0561649.0,NC(CS)C(=O)NC(CCC(=O)O)C(=O)O,0.5543416595677852,False,43
CNP0158963.1,CC(C)=C[C@H](C)C[C@H](C)/C=C(\C)C(=O)NC1=C[C@](O)(CCCCC(=O)O)[C@@H](O)CC1=O,0.5540427251443647,False,44
CNP0360554.1,NC(=O)[C@H](CCC(=O)O)NC(=O)C1=C[C@@H](NC(=O)CC2(CC(=O)O)CCCC2)[C@@H](O)[C@H](O)C1,0.5533234602490523,False,45
CNP0145538.0,O=C(O)CCC(NC(=O)Cc1ccc(O)cc1)C(=O)O,0.5528693211783889,False,46
CNP0135187.1,N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.550744573705202,False,47
CNP0478153.1,COc1cc(=O)n(C)c2c(C(=O)N[C@@H](CCC(=O)O)C(=O)C=C(C)C)nc3ccccc3c12,0.5485215909414126,False,48
CNP0308272.1,COc1cc2c(c(OC)c1OC)-c1ccc(NCCCC(=O)N[C@@H](CCSC)C(=O)O)c(=O)cc1[C@@H](NC(C)=O)CC2,0.5472915846571348,False,49
CNP0576794.1,CC(C)=CCc1cccc2nc3cccc(C(=O)N[C@@H](CCC(N)=O)C(=O)O)c3nc12,0.547184592307156,False,50
CNP0399185.2,COc1ccc(/C=C\C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1O,0.5467594102088668,False,51
CNP0346184.0,COc1cc2c(cc1OC)C(Cc1ccc(OCc3ccccc3)c(OC)c1)=NCC2,0.5463314058064613,False,52
CNP0286524.1,CC[C@H](C)[C@H](NC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.5449933255484667,False,53
CNP0142238.1,COc1cc2c(c(OC)c1OC)-c1ccc(N[C@@H](CCSC)C(=O)NCCCCCC(=O)O)c(=O)cc1[C@@H](NC(C)=O)CC2,0.5448509374499476,False,54
CNP0490924.1,CC(C)C[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)O,0.5441956628139417,False,55
CNP0542071.0,NC(=O)CCC(N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCN=C(N)N)C(=O)O,0.5415074289615701,False,56
CNP0511745.5,Nc1nc(O)c2c(n1)NC[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,0.5414699981701235,False,57
CNP0173607.0,CC(C)CC(N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)O,0.5406676134359039,False,58
CNP0507917.1,N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)O,0.5393163406793077,False,59
CNP0167911.1,N=C(N)NCCC[C@@H](NC(=O)c1ccc(OC(=O)c2ccc(O)cc2)cc1)C(=O)O,0.5388834369277833,False,60
CNP0243764.0,O=C(O)CCC(=O)N1NC(=C2C(=O)N=c3ccc(Br)cc3=C2c2ccccc2)CC1C1=CCCC=C1,0.5385534307384381,False,61
CNP0522418.0,NC(Cc1ccc(O)cc1)C(=O)NC(CCC(=O)O)C(=O)O,0.5379555531178196,False,62
CNP0589377.1,N=C(N)NCCC[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.537903199190792,False,63
CNP0371023.1,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.536822586738659,False,64
CNP0107306.0,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)CC(=O)O)cc1)CN2,0.5365716748846809,False,65
CNP0292026.1,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)NCCS(=O)(=O)O,0.5346455872416793,False,66
